TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,0.0337075,0.026344999999999997,0.024184999999999995,0.020449999999999996,0.058774999999999966,0.0183025,0.0183025,0.035054999999999996
200,0.06551249999999996,0.04894250000000001,0.046782500000000005,0.03420499999999999,0.11715000000000006,0.03205749999999999,0.03205749999999999,0.06551249999999996
300,0.09679499999999992,0.07236500000000001,0.07236500000000001,0.048785000000000016,0.17552500000000015,0.0458375,0.0458375,0.09811749999999993
400,0.1285749999999999,0.09497500000000003,0.09497500000000003,0.06255250000000002,0.23390000000000027,0.05958000000000002,0.05958000000000002,0.1285749999999999
500,0.15984500000000004,0.11972000000000005,0.11757250000000005,0.07630750000000004,0.29227500000000084,0.07630750000000004,0.07630750000000004,0.16118000000000005
600,0.19163750000000018,0.1423175,0.14018250000000002,0.09007500000000003,0.3506500000000016,0.09007500000000003,0.09007500000000003,0.19163750000000018
700,0.2229200000000003,0.16573999999999994,0.16573999999999994,0.10384250000000003,0.4090250000000024,0.10384250000000003,0.10384250000000003,0.2242425000000003
800,0.25470000000000037,0.18834999999999985,0.18834999999999985,0.11761000000000002,0.46740000000000326,0.11761000000000002,0.11761000000000002,0.25470000000000037
900,0.28593250000000014,0.21309499999999976,0.2109099999999998,0.13351250000000003,0.5257750000000033,0.13134,0.13134,0.2873050000000002
1000,0.31776249999999995,0.23569249999999972,0.23354499999999973,0.14726750000000008,0.5841180000000027,0.14513250000000005,0.14513250000000005,0.31776249999999995
