TOTAL_TAGS,LODS-MTI (Arbitrary K),LODS-MTI (Power-of-2)
100,0.01582,0.017967499999999997
150,0.023742499999999996,0.0279175
200,0.0316775,0.0316775
250,0.03664,0.04448325
300,0.04454999999999999,0.049624999999999996
350,0.0524725,0.05949699999999999
400,0.060395,0.060395
450,0.06745349999999999,0.06745349999999999
500,0.07328,0.0782765
550,0.08119,0.08528499999999999
600,0.0891125,0.09201124999999999
650,0.097035,0.09909499999999999
700,0.10200999999999998,0.10995799999999997
750,0.10991999999999999,0.11703849999999998
800,0.11784249999999999,0.11784249999999999
850,0.1257525,0.12784849999999998
900,0.132771,0.132771
950,0.13865,0.145792
1000,0.14656,0.14952
